Tiempo,ControlPWM,ThetaMedido,ThetaEstimado,VelocidadMedida,VelocidadEstimada
8.82,0,-0.1300174,-0.2044527,-6.427483,-4.895241
8.84,0,-0.1346309,-0.1093701,-3.923666,2.925571
8.86,0,-0.1300843,-0.1081129,-4.06107,2.634731
8.88,0,-0.119503,-0.08690061,-3.9542,3.39043
8.9,0,-0.1188897,-0.1075099,-3.938933,1.7282
8.92,0,-0.1157603,-0.09574994,-3.984734,2.380603
8.94,0,-0.1133923,-0.09690142,-3.969467,2.088817
8.96,0,-0.1124292,-0.09804384,-3.893131,1.91761
8.98,0,-0.108307,-0.08805899,-3.908398,2.346461
9,0,-0.1016019,-0.07856233,-3.938933,2.517037
9.02,0,-0.09161796,-0.06430733,-3.923666,2.780072
9.04,0,-0.09277547,-0.08739184,-3.923666,1.075444
9.06,0,-0.0975903,-0.09407149,-3.938933,0.964188
9.08,0,-0.09715758,-0.08331769,-3.908398,1.76735
9.1,0,-0.09580603,-0.08248848,-3.908398,1.716817
9.12,0,-0.09691518,-0.08802754,-3.938933,1.378639
9.14,0,-0.08323203,-0.04719998,-3.893131,3.402317
9.16,0,-0.0820141,-0.07537986,-3.908398,1.096949
9.18,0,-0.09645746,-0.1116994,-3.9542,-0.5092452
9.2,0,-0.1009586,-0.09219693,-3.938933,1.397878
9.22,0,-0.09711902,-0.07784402,-3.877864,2.191522
